time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-02-20T21:55:56.460Z,38.8095016,-122.815834,2.68,1.06,md,11,133,0.01044,0.02,nc,nc72765986,2017-02-20T21:57:32.189Z,"6km NW of The Geysers, California",earthquake,0.52,0.63,0.06,4,automatic,nc,nc
2017-02-20T21:36:16.090Z,33.5025,-116.7925,6.52,0.67,ml,28,61,0.07786,0.2,ci,ci37586471,2017-02-20T21:39:59.237Z,"9km NE of Aguanga, CA",earthquake,0.3,0.85,0.134,24,automatic,ci,ci
2017-02-20T21:28:01.040Z,38.8258324,-122.8056641,0.41,1.83,md,16,85,0.01735,0.02,nc,nc72765971,2017-02-20T21:49:02.150Z,"6km NW of The Geysers, California",earthquake,0.2,0.49,0.14,8,automatic,nc,nc
2017-02-20T21:23:04.980Z,38.8413315,-122.8125,5.78,1.35,md,15,92,0.01801,0.13,nc,nc72765966,2017-02-20T21:38:02.129Z,"8km WNW of Cobb, California",earthquake,0.72,1.3,0.02,5,automatic,nc,nc
2017-02-20T21:06:47.370Z,33.6643333,-116.7123333,3.64,0.96,ml,36,42,0.04674,0.31,ci,ci37586463,2017-02-20T21:10:31.048Z,"8km S of Idyllwild, CA",earthquake,0.33,0.72,0.179,27,automatic,ci,ci
2017-02-20T20:23:47.530Z,38.8095016,-122.8273315,-0.78,1.59,md,16,123,0.01487,0.09,nc,nc72765961,2017-02-20T20:48:02.009Z,"7km WNW of The Geysers, California",earthquake,0.26,0.8,0.09,5,automatic,nc,nc
2017-02-20T20:21:52.810Z,38.7791672,-122.8033371,0.75,0.67,md,6,189,0.009148,0.05,nc,nc72765956,2017-02-20T20:37:02.995Z,"4km W of The Geysers, California",earthquake,1.26,0.83,0.32,2,automatic,nc,nc
2017-02-20T20:21:17.660Z,33.665,-116.7931667,13.61,1.11,ml,42,75,0.05741,0.16,ci,ci37586439,2017-02-20T20:24:56.880Z,"11km SW of Idyllwild, CA",earthquake,0.23,0.39,0.205,27,automatic,ci,ci
2017-02-20T20:04:47.856Z,63.5094,-149.0814,96.8,1.8,ml,,,,0.63,ak,ak15316684,2017-02-20T20:14:38.571Z,"14km NNW of Cantwell, Alaska",earthquake,,0.8,,,automatic,ak,ak
2017-02-20T20:00:45.530Z,35.6538333,-118.4691667,8.1,0.91,ml,10,147,0.009766,0.1,ci,ci37586423,2017-02-20T20:04:17.916Z,"4km N of Lake Isabella, CA",earthquake,0.49,0.42,0.281,7,automatic,ci,ci
2017-02-20T19:53:59.147Z,62.8867,-150.7842,105.2,1.4,ml,,,,0.44,ak,ak15316678,2017-02-20T20:09:18.105Z,"71km NNW of Talkeetna, Alaska",earthquake,,0.8,,,automatic,ak,ak
